chopsticks,rice,,,,,,,,,,,,,,,,
rice,detergent,cooking oil,,,,,,,,,,,,,,,
meal box,paper cup,spoon,fork,trash bag,dishwashing liquid,tissue,,,,,,,,,,,
meal box,paper cup,spoon,fork,trash bag,,,,,,,,,,,,,
vinegar,oyster sauce,rice,ketchup,,,,,,,,,,,,,,
oyster sauce,soy sauce,vinegar,,,,,,,,,,,,,,,
vinegar,soy sauce,cooking oil,aluminum foil,,,,,,,,,,,,,,
meal box,chicken powder,fish sauce,,,,,,,,,,,,,,,
paper bag,plastic bag,tupperware,,,,,,,,,,,,,,,
chopsticks,thermal paper,,,,,,,,,,,,,,,,
bento box,sauce cup,,,,,,,,,,,,,,,,
bento box,sauce cup,,,,,,,,,,,,,,,,
plastic bag,tupperware,plastic bag,ziploc,egg,,,,,,,,,,,,,
tupperware,plastic bag,salad cup,,,,,,,,,,,,,,,
tupperware,paper bowl,spaghetti box,,,,,,,,,,,,,,,
meal box,plastic bag,plastic bag,burger box,bleach,tupperware,oyster sauce,,,,,,,,,,,
paper bowl,spaghetti box,sauce cup,paper bag,aluminum foil,,,,,,,,,,,,,
rice,spoon,,,,,,,,,,,,,,,,
tupperware,meal box,spaghetti box,paper bag,detergent powder,bag closer,kitchen towel,,,,,,,,,,,
tupperware,meal box,spaghetti box,chopsticks,,,,,,,,,,,,,,
trash bag,bleach,scotch tape,rice,detergent,tupperware,,,,,,,,,,,,
tupperware,spoon,fork,good morning towel,paper bag,,,,,,,,,,,,,
tupperware,paper bag,broom,alcohol,cooking oil,,,,,,,,,,,,,
dishwashing liquid,bread crumbs,detergent,tupperware,ice candy bag,,,,,,,,,,,,,
egg,tupperware,aluminum foil,,,,,,,,,,,,,,,
cling wrap,push broom,aluminum tray,,,,,,,,,,,,,,,
tupperware,rubber band,spoon,fork,packing tape,salad cup,plastic bag,,,,,,,,,,,
plastic bowl,chopsticks,hairnet,tupperware,,,,,,,,,,,,,,
tupperware,chopsticks,ice candy bag,cane vinegar,bleach,tissue,rice,dishwashing liquid,,,,,,,,,,
tupperware,plastic bag,,,,,,,,,,,,,,,,
egg,doormat,sponge,,,,,,,,,,,,,,,
rice,dishwashing liquid,chopsticks,plastic bag,spaghetti box,,,,,,,,,,,,,
paper bag,toothpick,sauce cup,,,,,,,,,,,,,,,
rice,cooking oil,,,,,,,,,,,,,,,,
spoon,fork,aluminum foil,meal box,scotch tape,towel,sponge,broom,cooking oil,,,,,,,,,
rice,chopsticks,dishwashing liquid,ice bag,plastic bag,,,,,,,,,,,,,
dishwashing liquid,mophead,ice bag,sauce cup,sponge,rice,,,,,,,,,,,,
plastic bag,tupperware,salad cup,sauce cup,sanitizer,,,,,,,,,,,,,
rice,dishwashing liquid,chopsticks,sauce cup,plastic bag,,,,,,,,,,,,,
disposable gloves,sauce cup,dishwashing liquid,mophead,oyster sauce,ice bag,rice,,,,,,,,,,,
cooking oil,chopsticks,ice bag,trash bag,,,,,,,,,,,,,,
bento box,steel brush,tupperware,spoon,cling wrap,ice bag,sauce cup,plastic straw,,,,,,,,,,
tissue,disposable gloves,mophead,,,,,,,,,,,,,,,
bento box,spoon,scotch tape,ice candy bag,sauce cup,,,,,,,,,,,,,
oil pump,tupperware,,,,,,,,,,,,,,,,
cling wrap,msg,egg,trash bag,,,,,,,,,,,,,,
cooking oil,rice,trash bag,flour,,,,,,,,,,,,,,
salad cup,paper bag,sauce cup,,,,,,,,,,,,,,,
aluminum foil,gun lighter,steel wool,sponge,,,,,,,,,,,,,,
paper bag,tupperware,chopsticks,,,,,,,,,,,,,,,
meal box,spaghetti box,,,,,,,,,,,,,,,,
cooking oil,plastic cup,ice bag,detergent,,,,,,,,,,,,,,
ziploc,plastic bag,,,,,,,,,,,,,,,,
egg,paper bag,trash bag,tupperware,salad cup,spoon,fork,chopsticks,,,,,,,,,,
chopsticks,rice,dishwashing liquid,tupperware,sauce cup,bleach,,,,,,,,,,,,
rice,meal box,spaghetti box,aluminum foil,yeast,aluminum tray,,,,,,,,,,,,
tupperware,paper bag,,,,,,,,,,,,,,,,
mophead,spaghetti box,chopsticks,plastic bag,ice bag,rice,trash bag,,,,,,,,,,,
tupperware,paper bag,,,,,,,,,,,,,,,,
spaghetti box,meal box,rice,,,,,,,,,,,,,,,
rice,detergent,cooking oil,spray bottle,gun lighter,dishwashing liquid,,,,,,,,,,,,
tupperware,trash bag,spoon,fork,ice bag,,,,,,,,,,,,,
ice bag,plastic bag,bread crumbs,spoon,fork,steel wool,bag closer,dishwashing liquid,bleach,,,,,,,,,
scotch tape,broom,cooking oil,brown sugar,,,,,,,,,,,,,,
detergent,rice,cooking oil,,,,,,,,,,,,,,,
cooking oil,detergent,bleach,pepper,,,,,,,,,,,,,,
tupperware,sauce cup,,,,,,,,,,,,,,,,
chopsticks,plastic bag,tupperware,cling wrap,salad cup,,,,,,,,,,,,,
meal box,spaghetti box,cooking oil,detergent,ice bag,ice candy bag,,,,,,,,,,,,
chopsticks,tupperware,spoon,fork,steel wool,vinyl gloves,,,,,,,,,,,,
tupperware,cooking oil,detergent,,,,,,,,,,,,,,,
detergent,salad cup,cooking oil,rice,,,,,,,,,,,,,,
spoon,fork,rice,bleach,detergent,salad cup,cooking oil,dishwashing liquid,paper bag,plastic bag,,,,,,,,
cling wrap,aluminum foil,,,,,,,,,,,,,,,,
chopsticks,cling wrap,tupperware,,,,,,,,,,,,,,,
cooking oil,detergent,pepper,,,,,,,,,,,,,,,
tupperware,chopsticks,spoon,fork,trash bag,egg,,,,,,,,,,,,
chopsticks,spoon,fork,,,,,,,,,,,,,,,
cooking oil,detergent,,,,,,,,,,,,,,,,
rice,empty bottle,,,,,,,,,,,,,,,,
chopsticks,spoon,fork,,,,,,,,,,,,,,,
cooking oil,rice,salt,,,,,,,,,,,,,,,
tupperware,face towel,ice bag,plastic bag,chopsticks,cling wrap,trash bag,,,,,,,,,,,
rice,cooking oil,detergent powder,bleach,,,,,,,,,,,,,,
tupperware,trash bag,,,,,,,,,,,,,,,,
sauce cup,hinged cup,msg,bleach,sponge,plastic bag,cling wrap,gun lighter,,,,,,,,,,
rice,cooking oil,detergent powder,bleach,apron,,,,,,,,,,,,,
chopsticks,plastic bag,spoon,trash bag,toothpick,,,,,,,,,,,,,
chopsticks,spoon,fork,aluminum foil,,,,,,,,,,,,,,
plastic bag,trash bag,dishwashing liquid,bread crumbs,detergent powder,spaghetti box,meal box,tupperware,salt,,,,,,,,,
plastic bag,tupperware,dishwashing liquid,,,,,,,,,,,,,,,
cooking oil,bleach,fiber towel,sponge,cling wrap,,,,,,,,,,,,,
chopsticks,cling wrap,trash bag,ice bag,spoon,fork,,,,,,,,,,,,
rice,flour,spaghetti box,chopsticks,dishwashing liquid,,,,,,,,,,,,,
cooking oil,plastic bag,,,,,,,,,,,,,,,,
apron,cooking oil,bleach,detergent,,,,,,,,,,,,,,
tupperware,cling wrap,chopsticks,,,,,,,,,,,,,,,
fork,spoon,tupperware,,,,,,,,,,,,,,,
rice,cooking oil,detergent,apron,,,,,,,,,,,,,,
trash bag,kitchen towel,steel wool,cooking oil,,,,,,,,,,,,,,
plastic bag,spork,,,,,,,,,,,,,,,,
tupperware,paper bag,,,,,,,,,,,,,,,,
chopsticks,plastic bag,trash bag,,,,,,,,,,,,,,,
cooking oil,plastic bag,detergent,,,,,,,,,,,,,,,
tupperware,trash bag,,,,,,,,,,,,,,,,
cling wrap,scotch tape,,,,,,,,,,,,,,,,
chopsticks,cling wrap,plastic bag,spoon,fork,trash bag,,,,,,,,,,,,
cooking oil,toilet brush,pepper,detergent powder,ice bag,,,,,,,,,,,,,
broom,broom and dustpan set,bucket,,,,,,,,,,,,,,,
cooking oil,detergent,bleach,,,,,,,,,,,,,,,
chopsticks,spoon,fork,cling wrap,trash bag,,,,,,,,,,,,,
bleach,dishwashing liquid,bread crumbs,sesame seeds,sauce cup,thermal paper,,,,,,,,,,,,
vinyl gloves,cooking oil,,,,,,,,,,,,,,,,
tupperware,bending straw,plastic bag,trash bag,,,,,,,,,,,,,,
cooking oil,bleach,detergent,,,,,,,,,,,,,,,
meal box,chicken powder,,,,,,,,,,,,,,,,
salt,aluminum foil,,,,,,,,,,,,,,,,
rice,cooking oil,bread crumbs,trash bag,tissue,,,,,,,,,,,,,
flour,tupperware,,,,,,,,,,,,,,,,
cooking oil,rice,bread crumbs,dishwashing liquid,,,,,,,,,,,,,,
cooking oil,flour,cling wrap,,,,,,,,,,,,,,,
cooking oil,bleach,detergent,,,,,,,,,,,,,,,
push broom,tupperware,bending straw,,,,,,,,,,,,,,,
salad cup,cooking oil,pot holder,,,,,,,,,,,,,,,
spoon,fork,,,,,,,,,,,,,,,,
meal box,corrugated cup,ice bag,,,,,,,,,,,,,,,
spaghetti box,tissue,salad cup,paper bag,plastic bag,thermal paper,cooking oil,rice,sesame seeds,broom,,,,,,,,
thermal paper,white sugar,,,,,,,,,,,,,,,,
cooking oil,bleach,tupperware,toilet pump,cooking oil,,,,,,,,,,,,,
rice,empty sack,,,,,,,,,,,,,,,,
bento box,trash bag,tupperware,,,,,,,,,,,,,,,
cane vinegar,dishwashing liquid,spaghetti box,tissue,paper bag,bleach,bag closer,rice,cooking oil,tupperware,,,,,,,,
bread crumbs,pepper,cooking oil,flour,trash bag,,,,,,,,,,,,,
cooking oil,bleach,detergent,,,,,,,,,,,,,,,
plastic bag,ice candy bag,paper bag,tissue,trash bag,pepper,bread crumbs,,,,,,,,,,,
cooking oil,detergent,bleach,ice bag,,,,,,,,,,,,,,
cooking oil,tupperware,sauce cup,salad cup,bleach,chopsticks,face mask,scouring pad,,,,,,,,,,
paper bag,scotch tape,cane vinegar,,,,,,,,,,,,,,,
cooking oil,bleach,detergent,tupperware,,,,,,,,,,,,,,
bento box,tupperware,charcoal,,,,,,,,,,,,,,,
rice,flour,sesame seeds,bread crumbs,bleach,,,,,,,,,,,,,
spaghetti box,styro food pack,dishwashing liquid,bag closer,plastic bag,ice bag,tissue,paper bag,rice,spork,cooking oil,,,,,,,
trash bag,bleach,thermal paper,,,,,,,,,,,,,,,
tupperware,cling wrap,trash bag,chopsticks,spoon,fork,,,,,,,,,,,,
cooking oil,detergent,noodle box,bleach,,,,,,,,,,,,,,
cling wrap,cooking oil,,,,,,,,,,,,,,,,
trash bag,white sugar,scotch tape,,,,,,,,,,,,,,,
rice,cane vinegar,bread crumbs,tissue,sponge,,,,,,,,,,,,,
tupperware,bleach,hinged cup,msg,plastic bag,cooking oil,,,,,,,,,,,,
cooking oil,bleach,tupperware,detergent,,,,,,,,,,,,,,
wax paper,pepper,,,,,,,,,,,,,,,,
trash bag,plastic bag,bento box,rubber band,ballpen,,,,,,,,,,,,,
flour,cling wrap,cooking oil,scotch tape,,,,,,,,,,,,,,
salad cup,dishwashing liquid,spaghetti box,meal box,bleach,paper towel,rice,cooking oil,paper bag,,,,,,,,,
cooking oil,detergent,bleach,,,,,,,,,,,,,,,
cooking oil,tupperware,detergent,bleach,,,,,,,,,,,,,,
cooking oil,scotch tape,vinyl gloves,cling wrap,,,,,,,,,,,,,,
tupperware,spoon,fork,trash bag,,,,,,,,,,,,,,
rice,cooking oil,salad cup,trash bag,dishwashing liquid,bread crumbs,fresh tissue,bag closer,softdrinks straw,,,,,,,,,
bento box,sauce cup,hinged cup,plastic bag,,,,,,,,,,,,,,
salt,rice,,,,,,,,,,,,,,,,
paper bowl,sauce cup,plastic bag,,,,,,,,,,,,,,,
cooking oil,detergent,bleach,pepper,,,,,,,,,,,,,,
disposable gloves,dishwashing liquid,cling wrap,sponge,,,,,,,,,,,,,,
rice,cooking oil,spaghetti box,meal box,dishwashing liquid,cane vinegar,plastic bag,ice candy bag,sesame seeds,trash bag,bread crumbs,tissue,,,,,,
msg,tupperware,gun lighter,plastic bag,,,,,,,,,,,,,,
cooking oil,detergent,,,,,,,,,,,,,,,,
cooking oil,cling wrap,rice,spaghetti box,chopsticks,sauce cup,salad cup,tupperware,white sugar,cooking oil,paper bag,,,,,,,
flour,white sugar,,,,,,,,,,,,,,,,
cooking oil,,,,,,,,,,,,,,,,,
rice,cooking oil,packing tape,spoon,,,,,,,,,,,,,,
paper cup,rice wrapper,,,,,,,,,,,,,,,,
plastic bag,cooking oil,vinegar,detergent,bleach,,,,,,,,,,,,,
rice,bento box,,,,,,,,,,,,,,,,
rice,bleach,trash bag,paper bag,spaghetti box,bread crumbs,cooking oil,,,,,,,,,,,
cling wrap,pepper,,,,,,,,,,,,,,,,
tupperware,spaghetti box,chopsticks,cling wrap,rice,,,,,,,,,,,,,
broom,scrubbing pad,hand brush,white towel,dustpan,bottle spray,,,,,,,,,,,,
dishwashing liquid,fork,spoon,,,,,,,,,,,,,,,
cooking oil,bleach,detergent,,,,,,,,,,,,,,,
detergent,dishwashing liquid,bleach,cooking oil,paper bag,plastic bag,spaghetti box,meal box,rice,sushi tray,sesame seeds,,,,,,,
rice,thermal paper,scotch tape,ice bag,ice candy bag,,,,,,,,,,,,,
bento box,tupperware,plastic bag,vinyl gloves,,,,,,,,,,,,,,
rice,chopsticks,tupperware,,,,,,,,,,,,,,,
rice,salad cup,meal box,paper bag,cooking oil,salad cup,,,,,,,,,,,,
tupperware,bento box,,,,,,,,,,,,,,,,
cling wrap,dishwashing liquid,detergent,bleach,,,,,,,,,,,,,,
tupperware,plastic bag,egg,,,,,,,,,,,,,,,
rice,spoon,fork,tupperware,,,,,,,,,,,,,,
bento box,tupperware,spoon,fork,rubber band,,,,,,,,,,,,,
cooking oil,rice,meal box,paper bag,vinyl gloves,,,,,,,,,,,,,
cooking oil,rice,bread crumbs,plastic bag,toilet cleaner,flour,tupperware,cling wrap,chopsticks,,,,,,,,,
rice,cooking oil,paper bag,dishwashing liquid,meal box,kitchen towel,spaghetti box,detergent,bleach,bread crumbs,cane vinegar,rice,ice bag,plastic bag,,,,
bento box,charcoal,rice,,,,,,,,,,,,,,,
rice,plastic bag,sponge,trash bag,,,,,,,,,,,,,,
flour,rice,oyster sauce,bread crumbs,chopsticks,styro food pack,spaghetti box,tupperware,cooking oil,paper bag,meal box,,,,,,,
white sugar,bleach,rice,cooking oil,scotch tape,bag closer,,,,,,,,,,,,
alcohol,vinyl gloves,dishwashing liquid,tissue,bleach,trash bag,detergent,fabric conditioner,mop,dustpan,cooking oil,broom,egg,,,,,
bento box,tupperware,rice,cooking oil,charcoal,,,,,,,,,,,,,
tupperware,plastic bag,spaghetti box,rice,,,,,,,,,,,,,,
dishwashing liquid,gloves,,,,,,,,,,,,,,,,
tupperware,bento box,sesame seeds,,,,,,,,,,,,,,,
rice,chopsticks,,,,,,,,,,,,,,,,
aluminum tray,tupperware,bento box,rice,chopsticks,,,,,,,,,,,,,
tupperware,trash bag,spaghetti box,chicken box,,,,,,,,,,,,,,
rice,cling wrap,flour,chopsticks,tupperware,lids,toilet cleaner,,,,,,,,,,,
paper bag,disposable gloves,chopsticks,sauce cup,gun lighter,cling wrap,,,,,,,,,,,,
cooking oil,cling wrap,,,,,,,,,,,,,,,,
plastic bag,bleach,paper bag,spaghetti box,rice,bread crumbs,white sugar,,,,,,,,,,,
cooking oil,tupperware,,,,,,,,,,,,,,,,
cooking oil,detergent,bleach,,,,,,,,,,,,,,,
cooking oil,rice,,,,,,,,,,,,,,,,
sesame seeds,sesame seeds,,,,,,,,,,,,,,,,
rice,chopsticks,sesame seeds,dishwashing liquid,pepper,,,,,,,,,,,,,
tupperware,meal box,,,,,,,,,,,,,,,,
rice,tupperware,cooking oil,,,,,,,,,,,,,,,
cane vinegar,cooking oil,sesame seeds,dustpan,,,,,,,,,,,,,,
cooking oil,detergent,,,,,,,,,,,,,,,,
cling wrap,toilet cleaner,chopsticks,burger box,tupperware,rice,flour,bento box,,,,,,,,,,
paper bag,tupperware,,,,,,,,,,,,,,,,
cooking oil,rice,bento box,,,,,,,,,,,,,,,
cooking oil,egg,white sugar,brown sugar,salt,msg,pepper,soy sauce,,,,,,,,,,
cooking oil,bleach,detergent,,,,,,,,,,,,,,,
tupperware,egg,plastic bag,trash bag,,,,,,,,,,,,,,
tupperware,hinged cup,sauce cup,,,,,,,,,,,,,,,
hinged cup,salad bowl,tissue,meal box,fruit tray,spoon,plastic bag,,,,,,,,,,,
flour,msg,chopsticks,white sugar,hinged cup,tupperware,rice,cooking oil,,,,,,,,,,
cling wrap,sponge,vinyl gloves,thermal paper,tupperware,bleach,,,,,,,,,,,,
detergent,bleach,cooking oil,,,,,,,,,,,,,,,
bag closer,wax paper,,,,,,,,,,,,,,,,
cooking oil,rice,bento box,,,,,,,,,,,,,,,
cooking oil,vinyl gloves,egg,wax paper,,,,,,,,,,,,,,
gun lighter,rice,cane vinegar,dishwashing liquid,cooking oil,bread crumbs,spaghetti box,meal box,paper bag,sauce cup,sesame seeds,scotch tape,trash bag,,,,,
trash bag,cooking oil,toothpick,sauce cup,,,,,,,,,,,,,,
rice,cooking oil,,,,,,,,,,,,,,,,
salt,rice,,,,,,,,,,,,,,,,
bread crumbs,rice,chopsticks,flour,toilet cleaner,cling wrap,paper bag,thermal paper,,,,,,,,,,
sesame seeds,pepper,,,,,,,,,,,,,,,,
egg,cling wrap,sesame seeds,oil pump,paper bag,,,,,,,,,,,,,
tissue,steel wool,siomai wrapper,,,,,,,,,,,,,,,
tupperware,sauce cup,vinyl gloves,,,,,,,,,,,,,,,
meal box,paper bowl,tissue,black tray,doormat,,,,,,,,,,,,,
dishwashing liquid,spaghetti box,detergent,cooking oil,tissue,rice,bleach,bread crumbs,,,,,,,,,,
bleach,msg,cooking oil,hinged cup,detergent,,,,,,,,,,,,,
white sugar,flour,cling wrap,rice,chopsticks,spaghetti box,meal box,tupperware,sauce cup,sponge,plastic bag,tape,ice bag,egg,cooking oil,,,
bento box,rice,,,,,,,,,,,,,,,,
broom,scissors,paper bowl,dishwashing liquid,,,,,,,,,,,,,,
rice,cooking oil,tupperware,,,,,,,,,,,,,,,
cooking oil,barbecue stick,chopsticks,,,,,,,,,,,,,,,
egg,towel,trash bag,tupperware,,,,,,,,,,,,,,
cooking oil,rice,,,,,,,,,,,,,,,,
cooking oil,rice,,,,,,,,,,,,,,,,
cooking oil,spoon,,,,,,,,,,,,,,,,
pepper,rice,trash bag,paper bag,plastic bag,,,,,,,,,,,,,
sesame seeds,bento box,,,,,,,,,,,,,,,,
rice,vinyl gloves,,,,,,,,,,,,,,,,
cooking oil,wheat flour,tissue,pepper,salt,,,,,,,,,,,,,
rice,cooking oil,bento box,,,,,,,,,,,,,,,
rice,bento box,,,,,,,,,,,,,,,,
detergent,plastic bag,spaghetti box,rice,,,,,,,,,,,,,,
tupperware,hinged cup,,,,,,,,,,,,,,,,
tissue,plastic bag,mophead,push broom,,,,,,,,,,,,,,
rice,pepper,dishwashing liquid,meal box,spaghetti box,sesame seeds,broom,,,,,,,,,,,
bento box,plastic bag,,,,,,,,,,,,,,,,
chopsticks,cooking oil,rice,egg,,,,,,,,,,,,,,
cooking oil,rice,,,,,,,,,,,,,,,,
bread crumbs,chopsticks,sugar,flour,rice,sesame seeds,paper bag,meal box,,,,,,,,,,
trash bag,tissue,dishwashing liquid,,,,,,,,,,,,,,,
rice,cooking oil,paper bag,,,,,,,,,,,,,,,
rice,egg,tissue,vinyl gloves,,,,,,,,,,,,,,
tupperware,rice,,,,,,,,,,,,,,,,
toothpick,rubber band,,,,,,,,,,,,,,,,
rice,chopsticks,flour,cooking oil,cling wrap,bread crumbs,bento box,plastic bag,ice bag,tupperware,scotch tape,,,,,,,
chopsticks,spoon,fork,pepper,cling wrap,trash bag,,,,,,,,,,,,
rice,cane vinegar,meal box,spaghetti box,plastic bag,detergent,bleach,dishwashing liquid,cooking oil,salad cup,,,,,,,,
sesame seeds,bread crumbs,rice,scotch tape,tissue,ice candy bag,drum,bleach,detergent,cooking oil,toilet cleaner,,,,,,,
cooking oil,white sugar,egg,rice,rice,cling wrap,,,,,,,,,,,,
egg,rice,cooking oil,,,,,,,,,,,,,,,
tissue,spoon,fork,plastic bag,chopsticks,bento box,,,,,,,,,,,,
rice,egg,bento box,,,,,,,,,,,,,,,
tupperware,trash bag,cling wrap,,,,,,,,,,,,,,,
paper bag,plastic bag,,,,,,,,,,,,,,,,
spoon,fork,plastic bag,trash bag,,,,,,,,,,,,,,
bleach,cooking oil,msg,detergent,cooking oil,plastic bag,plastic bag,tupperware,ice bag,push broom,mop body,,,,,,,
vinyl gloves,cling wrap,,,,,,,,,,,,,,,,
rice,paper bag,plastic bag,,,,,,,,,,,,,,,
cling wrap,rice,chopsticks,flour,msg,scotch tape,bread crumbs,tupperware,sauce cup,,,,,,,,,
styro food pack,cane vinegar,spaghetti box,ballpen,plastic bag,bread crumbs,rice,detergent,bleach,pepper,paper bag,cooking oil,,,,,,
cooking oil,plastic cup,,,,,,,,,,,,,,,,
rice,alcohol,detergent,dishwashing liquid,bleach,bento box,plastic bag,,,,,,,,,,,
tupperware,vinyl gloves,,,,,,,,,,,,,,,,
detergent,dishwashing liquid,bleach,tissue,,,,,,,,,,,,,,
rice,tissue,alcohol,detergent,dishwashing liquid,,,,,,,,,,,,,
spaghetti box,tupperware,cane vinegar,rice,dishwashing liquid,detergent powder,cooking oil,plastic bag,sugar,bleach,bread crumbs,sesame seeds,,,,,,
pepper,sesame seeds,party towel,tissue,,,,,,,,,,,,,,
cooking oil,spoon,rice,egg,,,,,,,,,,,,,,
egg,rice,,,,,,,,,,,,,,,,
rice,tissue,plastic bag,,,,,,,,,,,,,,,
spaghetti box,plastic bag,trash bag,,,,,,,,,,,,,,,
tupperware,cooking oil,,,,,,,,,,,,,,,,
spaghetti box,dishwashing liquid,detergent,bleach,cooking oil,scotch tape,,,,,,,,,,,,
spaghetti box,chopsticks,rice,,,,,,,,,,,,,,,
rice,tissue,,,,,,,,,,,,,,,,
rice,cooking oil,spaghetti box,paper bag,cane vinegar,,,,,,,,,,,,,
rice,fork,,,,,,,,,,,,,,,,
cooking oil,egg,,,,,,,,,,,,,,,,
rice,cooking oil,tupperware,dishwashing liquid,detergent,bleach,pepper,bread crumbs,spaghetti box,meal box,cane vinegar,cooking oil,,,,,,
tupperware,vinyl gloves,egg,,,,,,,,,,,,,,,
rice,plastic bag,cooking oil,spaghetti box,steel wool,sponge,,,,,,,,,,,,
bag closer,broom,dustpan,plastic bag,bleach,rice,fly swatter,scotch tape,cooking oil,spaghetti box,,,,,,,,
meal box,salad cup,dishwashing liquid,spaghetti box,white sugar,,,,,,,,,,,,,
spaghetti box,bread crumbs,cooking oil,rice,,,,,,,,,,,,,,
plastic bag,cooking oil,rice,paper bag,spaghetti box,meal box,bread crumbs,bag closer,,,,,,,,,,
alcohol,dishwashing liquid,trash bag,,,,,,,,,,,,,,,
rice,detergent,bleach,,,,,,,,,,,,,,,
rice,spaghetti box,cooking oil,sesame seeds,plastic bag,bread crumbs,pepper,,,,,,,,,,,
rice,brown sugar,sugar,flour,cling wrap,vinyl gloves,detergent,dishwashing liquid,,,,,,,,,,
cooking oil,ice bag,,,,,,,,,,,,,,,,
rice,cooking oil,cane vinegar,spaghetti box,meal box,paper bag,salad cup,plastic bag,ice candy bag,sugar,salt,scotch tape,bread crumbs,,,,,
tissue,plastic bag,spray bottle,rice,sesame seeds,broom,trash bag,bleach,steel wool,sponge,,,,,,,,
pepper,rice,oyster sauce,cling wrap,plastic bag,,,,,,,,,,,,,
cling wrap,dishwashing liquid,detergent,,,,,,,,,,,,,,,
detergent,rice,bleach,,,,,,,,,,,,,,,
broom,dishwashing liquid,,,,,,,,,,,,,,,,
rice,cooking oil,spaghetti box,meal box,paper bag,plastic bag,detergent,dishwashing liquid,bleach,bread crumbs,tissue,tape,,,,,,
rice,tissue,,,,,,,,,,,,,,,,
sesame seeds,ziploc,bento box,hinged cup,sushi tray,,,,,,,,,,,,,
rice,cooking oil,flour,,,,,,,,,,,,,,,
msg,hinged cup,pepper,cannon towel,broom,cooking oil,,,,,,,,,,,,
tupperware,spaghetti box,oyster sauce,,,,,,,,,,,,,,,
cooking oil,sugar,flour,plastic bag,,,,,,,,,,,,,,
cooking oil,chopsticks,paper bag,bending straw,cling wrap,rice,,,,,,,,,,,,
